"Timestamp","Gender","Major","How many friends would you say you were extremely close to before quarantine happened?"," Did you reconsider your friendship with your current friends and (re)consider ending the ties with some?","Have you lost any friends since the lockdown?","How much do you use social media in quarantine to stay in touch with your friends?","Did you actively try to interact with new people through social media in order to make new friends during the quarantine?","If yes then which applications did you use from the following (Check as many as you want): ","Have you made any new friends during quarantine from Habib?","Did your mental health suffer during the pandemic? And did you take part in online therapy for it?"
"2020/06/16 8:05:28 pm GMT+5","Female","SDP","6-9","No","No","10","Yes","Instagram;Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/16 8:07:58 pm GMT+5","Male","SDP","0-2","No","No","9","No","","No","Yea but no Therapy"
"2020/06/16 8:12:27 pm GMT+5","Male","SDP","6-9","No","No","5","No","","Yes","Yea but no Therapy"
"2020/06/16 8:13:28 pm GMT+5","Male","CS","0-2","No","No","3","No","","No","Yea but no Therapy"
"2020/06/16 8:15:06 pm GMT+5","Male","CS","3-5","Yes","No","5","No","","No","Yes"
"2020/06/16 8:18:03 pm GMT+5","Male","CS","0-2","No","No","3","No","","No","Yea but no Therapy"
"2020/06/16 8:18:46 pm GMT+5","Male","EE","3-5","No","No","5","No","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/16 8:21:33 pm GMT+5","Male","CS","0-2","No","No","1","No","PUBG","No","Yea but no Therapy"
"2020/06/16 8:22:14 pm GMT+5","Male","CS","10 or more","Yes","No","8","No","","No","Yea but no Therapy"
"2020/06/16 8:31:53 pm GMT+5","Male","CS","0-2","No","No","5","No","","No","No"
"2020/06/16 8:32:11 pm GMT+5","Male","CS","10 or more","No","No","9","No","","No","Yes"
"2020/06/16 8:35:07 pm GMT+5","Male","EE","0-2","No","No","5","No","","Yes","Yea but no Therapy"
"2020/06/16 8:36:45 pm GMT+5","Female","CS","10 or more","Yes","Yes","8","No","","No","Yea but no Therapy"
"2020/06/16 9:06:57 pm GMT+5","Male","CS","0-2","No","No","8","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/16 9:10:52 pm GMT+5","Female","CND","10 or more","Yes","Yes","9","No","","Yes","Yea but no Therapy"
"2020/06/16 9:13:59 pm GMT+5","Female","CND","6-9","No","No","10","No","","No","No"
"2020/06/16 9:18:48 pm GMT+5","Female","CS","6-9","No","No","8","Yes","","No","Yea but no Therapy"
"2020/06/16 9:19:25 pm GMT+5","Female","CS","10 or more","No","No","7","No","LudoStar","Yes","Yea but no Therapy"
"2020/06/16 9:20:28 pm GMT+5","Female","CLS","6-9","No","No","4","No","","Yes","Yes"
"2020/06/16 9:21:30 pm GMT+5","Female","CS","3-5","Yes","Yes","2","No","","No","Yea but no Therapy"
"2020/06/16 9:22:48 pm GMT+5","Female","SDP","3-5","No","No","6","No","Instagram;Facebook","","Yea but no Therapy"
"2020/06/16 9:23:15 pm GMT+5","Female","SDP","3-5","No","No","10","Yes","Instagram","Yes","Yea but no Therapy"
"2020/06/16 9:28:40 pm GMT+5","Male","CS","6-9","No","No","7","No","Instagram;Snapchat;Whatsapp ","No","Yea but no Therapy"
"2020/06/16 9:38:46 pm GMT+5","Male","CS","10 or more","Yes","Yes","10","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","Yes","Yea but no Therapy"
"2020/06/16 9:47:05 pm GMT+5","Female","CLS","0-2","No","Yes","10","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","Yes","Yes"
"2020/06/16 9:58:04 pm GMT+5","Male","CS","0-2","Yes","No","8","Yes","Instagram;Speaky","No","Yea but no Therapy"
"2020/06/16 9:59:31 pm GMT+5","Male","CS","3-5","No","No","6","No","","Yes","No"
"2020/06/16 10:01:01 pm GMT+5","Female","CND","3-5","Yes","No","4","No","Instagram;Facebook","Yes","Yea but no Therapy"
"2020/06/16 10:06:34 pm GMT+5","Male","SDP","3-5","No","No","10","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App;Tiktok;Snapchat;Twitter","Yes","Yea but no Therapy"
"2020/06/16 10:17:04 pm GMT+5","Male","CE","3-5","No","No","6","No","","No","No"
"2020/06/16 10:19:38 pm GMT+5","Female","SDP","3-5","No","No","7","No","","No","Yea but no Therapy"
"2020/06/16 10:22:39 pm GMT+5","Male","CS","6-9","No","No","6","No","Instagram;Facebook;LudoStar;Snapchat","No","Yea but no Therapy"
"2020/06/16 10:26:13 pm GMT+5","Male","CE","6-9","No","No","10","Yes","Instagram;Facebook;Snapchat","No","Yea but no Therapy"
"2020/06/16 10:34:16 pm GMT+5","Female","CS","3-5","No","No","10","No","","No","Yea but no Therapy"
"2020/06/16 10:35:14 pm GMT+5","Male","CS","3-5","Yes","Yes","4","No","","No","Yea but no Therapy"
"2020/06/16 11:15:44 pm GMT+5","Female","EE","6-9","Yes","Yes","3","No","","No","Yea but no Therapy"
"2020/06/17 12:02:25 am GMT+5","Female","CND","10 or more","No","No","10","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/17 12:10:28 am GMT+5","Male","EE","0-2","No","No","4","No","","No","Yea but no Therapy"
"2020/06/17 12:23:29 am GMT+5","Female","CND","3-5","Yes","No","8","No","","Yes","Yea but no Therapy"
"2020/06/17 12:27:27 am GMT+5","Female","SDP","6-9","No","No","9","Yes","Instagram;Facebook;Twitter","No","Yea but no Therapy"
"2020/06/17 12:31:00 am GMT+5","Male","EE","3-5","No","No","6","No","","No","Yea but no Therapy"
"2020/06/17 12:39:00 am GMT+5","Female","CLS","0-2","No","Yes","10","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","Yes","Yes"
"2020/06/17 1:59:42 am GMT+5","Male","CS","6-9","Yes","Yes","6","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App;Twitter","No","Yea but no Therapy"
"2020/06/17 2:06:33 am GMT+5","Female","SDP","3-5","No","No","8","Yes","Instagram;Facebook;Twitter","Yes","Yea but no Therapy"
"2020/06/17 2:38:44 am GMT+5","Female","SDP","3-5","No","Yes","10","Yes","Instagram;Facebook;Twitter","No","Yea but no Therapy"
"2020/06/17 2:39:53 am GMT+5","Male","CS","0-2","No","No","6","Yes","Instagram;Tinder/Bumble/Grindr/Any other Dating App;Twitter","No","No"
"2020/06/17 2:40:24 am GMT+5","Female","SDP","3-5","No","No","7","No","","No","Yea but no Therapy"
"2020/06/17 2:43:09 am GMT+5","Male","CND","6-9","Yes","No","7","Yes","Instagram;Facebook;Tinder/Bumble/Grindr/Any other Dating App","Yes","Yea but no Therapy"
"2020/06/17 2:44:51 am GMT+5","Female","CS","10 or more","No","Yes","5","No","Instagram;Facebook;LudoStar;Snapchat","No","No"
"2020/06/17 2:54:44 am GMT+5","Female","CS","3-5","Yes","Yes","10","No","","Yes","Yea but no Therapy"
"2020/06/17 4:43:52 am GMT+5","Female","SDP","3-5","Yes","No","9","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/17 7:07:16 am GMT+5","Male","EE","3-5","No","No","9","No","","Yes","Yea but no Therapy"
"2020/06/17 7:24:27 am GMT+5","Female","CS","3-5","No","No","7","Yes","Instagram;Snapchat;Twitter","No","Yea but no Therapy"
"2020/06/17 9:05:40 am GMT+5","Female","CS","6-9","No","No","8","Yes","Twitter;Whatsapp","No","Yea but no Therapy"
"2020/06/17 11:21:13 am GMT+5","Female","SDP","3-5","No","No","8","Yes","Instagram;Facebook;Twitter","Yes","Yea but no Therapy"
"2020/06/17 11:23:21 am GMT+5","Male","EE","3-5","No","No","7","No","Instagram;Facebook;PUBG;Snapchat","No","Yea but no Therapy"
"2020/06/17 11:33:14 am GMT+5","Female","EE","6-9","No","No","9","Yes","Instagram;Facebook;Tiktok","Yes","Yea but no Therapy"
"2020/06/17 12:57:42 pm GMT+5","Female","EE","6-9","No","No","8","No","","Yes","Yea but no Therapy"
"2020/06/17 12:59:48 pm GMT+5","you know ;)","CS","10 or more","Yes","Yes","1","No","github","No","Yea but no Therapy"
"2020/06/17 1:08:13 pm GMT+5","Male","EE","0-2","No","No","5","Yes","Facebook;Snapchat","Yes","Yea but no Therapy"
"2020/06/17 2:07:07 pm GMT+5","Male","CND","10 or more","No","No","4","No","","No","No"
"2020/06/17 2:31:14 pm GMT+5","Female","CS","6-9","Yes","Yes","4","No","","No","Yea but no Therapy"
"2020/06/17 2:32:10 pm GMT+5","Male","EE","3-5","No","No","10","No","Facebook;Snapchat;Discord","Yes","Yea but no Therapy"
"2020/06/17 2:32:25 pm GMT+5","Female","SDP","0-2","Yes","No","7","No","","No","Yea but no Therapy"
"2020/06/17 2:34:09 pm GMT+5","Female","SDP","3-5","No","No","10","No","","No","Yea but no Therapy"
"2020/06/17 2:34:36 pm GMT+5","Female","SDP","3-5","No","No","8","No","","Yes","No"
"2020/06/17 2:34:38 pm GMT+5","Female","CS","0-2","No","No","5","No","","Yes","No"
"2020/06/17 2:35:21 pm GMT+5","Female","SDP","10 or more","Yes","Yes","9","Yes","Facebook;Twitter","Yes","Yes"
"2020/06/17 2:35:45 pm GMT+5","Male","EE","3-5","No","No","9","Yes","Instagram;Facebook;PUBG;Snapchat","Yes","Yea but no Therapy"
"2020/06/17 2:38:06 pm GMT+5","Female","EE","3-5","No","No","8","No","","Yes","No"
"2020/06/17 2:38:28 pm GMT+5","Female","SDP","6-9","No","No","9","No","","No","Yea but no Therapy"
"2020/06/17 2:38:38 pm GMT+5","Female","CS","3-5","No","No","7","Yes","Instagram;Snapchat","Yes","Yes"
"2020/06/17 2:44:29 pm GMT+5","Male","CS","3-5","Yes","No","6","No","","No","Yea but no Therapy"
